City,State,Zip input,Miles,Roundtrip miles,RPM,Base rate,Fuel (32%),Linehaul + FSC
SANTA MONICA,CA,90401,38,76,5.263157895,400,128,528
UPLAND,CA,91785,38,76,5.263157895,400,128,528
ROSEMEAD,CA,91770,38.6,77.2,5.18134715,400,128,528
FARMINGTON,CA,95230,38.8,77.6,5.18134715,402.0725389,128.6632124,530.7357513
SAN MARINO,CA,91108,38.9,77.8,5.18134715,403.1088083,128.9948187,532.1036269
COSTA MESA,CA,92628,39,78,5.18134715,404.1450777,129.3264249,533.4715026
COVINA,CA,91723,39.1,78.2,5.18134715,405.1813472,129.6580311,534.8393782
SANTA CLARITA,CA,91355,39.1,78.2,5.18134715,405.1813472,129.6580311,534.8393782
FOUNTAIN VALLEY,CA,92728,39.4,78.8,5.025125628,395.9798995,126.7135678,522.6934673
SACRAMENTO,CA,95817,39.7,79.4,5.025125628,398.9949749,127.678392,526.6733668
GLENDALE,CA,91201,39.9,79.8,5.025125628,401.0050251,128.321608,529.3266332
PHILLIPSVILLE,CA,95559,40.2,80.4,5.025125628,404.0201005,129.2864322,533.3065327
LA HABRA,CA,90631,40.3,80.6,5.025125628,405.0251256,129.6080402,534.6331658
MAYWOOD,CA,90270,40.4,80.8,5.208333333,420.8333333,134.6666667,555.5
GUASTI,CA,91743,40.5,81,5.208333333,421.875,135,556.875
BEVERLY HILLS,CA,90210,40.9,81.8,5.208333333,426.0416667,136.3333333,562.375
LOS ANGELES,CA,90033,41,82,5.182926829,425,136,561
VALLEY SPRINGS,CA,95252,41,82,5.182926829,425,136,561
MORENO VALLEY,CA,92553,41,82,5.182926829,425,136,561
ANAHEIM,CA,92815,41.5,83,5.095923261,422.9616307,135.3477218,558.3093525
ELK GROVE,CA,95758,41.5,83,5.095923261,422.9616307,135.3477218,558.3093525
NORTH HILLS,CA,91343,42.4,84.8,5.035545024,427.014218,136.6445498,563.6587678
VAN NUYS,CA,91406,42.4,84.8,5.035545024,427.014218,136.6445498,563.6587678
LOS ANGELES,CA,90067,42.6,85.2,4.988262911,425,136,561
CLIO,CA,96106,42.6,85.2,4.988262911,425,136,561
CORONA,CA,92878,42.9,85.8,4.988262911,427.9929577,136.9577465,564.9507042
CHATSWORTH,CA,91311,42.9,85.8,4.988262911,427.9929577,136.9577465,564.9507042
NORTH HOLLYWOOD,CA,91601,43,86,4.907621247,422.0554273,135.0577367,557.113164
GREEN VALLEY LAKE,CA,92341,43.2,86.4,4.907621247,424.0184758,135.6859122,559.704388
WHITTIER,CA,90605,43.7,87.4,4.885057471,426.954023,136.6252874,563.5793103
SOUTH EL MONTE,CA,91733,43.7,87.4,4.885057471,426.954023,136.6252874,563.5793103
WEST COVINA,CA,91793,43.8,87.6,4.885057471,427.9310345,136.937931,564.8689655
FORKS OF SALMON,CA,96031,43.8,87.6,4.885057471,427.9310345,136.937931,564.8689655
MISSION VIEJO,CA,92690,43.9,87.8,4.885057471,428.908046,137.2505747,566.1586207
NEWPORT BEACH,CA,92661,44.2,88.4,4.786036036,423.0855856,135.3873874,558.472973
CALPINE,CA,96124,44.2,88.4,4.786036036,423.0855856,135.3873874,558.472973
TARZANA,CA,91356,44.4,88.8,4.786036036,425,136,561
DAVIS,CA,95616,44.7,89.4,4.732739421,423.1069042,135.3942094,558.5011136
ALLEGHANY,CA,95910,44.7,89.4,4.732739421,423.1069042,135.3942094,558.5011136
GLENDALE,CA,91202,45,90,4.732739421,425.9465479,136.3028953,562.2494432
CITY OF INDUSTRY,CA,91715,45.1,90.2,4.732739421,426.8930958,136.6057906,563.4988864
SAN CLEMENTE,CA,92673,45.2,90.4,4.900881057,443.0396476,141.7726872,584.8123348
LOS ANGELES,CA,90008,45.3,90.6,4.900881057,444.0198238,142.0863436,586.1061674
SHERMAN OAKS,CA,91403,45.3,90.6,4.900881057,444.0198238,142.0863436,586.1061674
HUNTINGTON BEACH,CA,92648,45.3,90.6,4.900881057,444.0198238,142.0863436,586.1061674
