City,State,Zip input,Miles,Roundtrip miles,RPM,Base rate,Fuel (32%),Linehaul + FSC
SKYFOREST,CA,92385,113,226,2.5,565,180.8,745.8
OCEANSIDE,CA,92054,113,226,2.5,565,180.8,745.8
SAN DIEGO,CA,92120,114,228,2.5,570,182.4,752.4
EXETER,CA,93221,114,228,2.5,570,182.4,752.4
SANTA BARBARA,CA,93102,114,228,2.5,570,182.4,752.4
POTRERO,CA,91963,114,228,2.5,570,182.4,752.4
LONG BEACH,CA,90806,114,228,2.5,570,182.4,752.4
SANTA MARIA,CA,93454,114,228,2.5,570,182.4,752.4
MORONGO VALLEY,CA,92256,114,228,2.5,570,182.4,752.4
SAN DIEGO,CA,92126,115,230,2.5,575,184,759
BIG BEAR CITY,CA,92314,115,230,2.5,575,184,759
BIG BEAR LAKE,CA,92315,115,230,2.5,575,184,759
HEMET,CA,92543,115,230,2.5,575,184,759
CRESCENT CITY,CA,95531,115,230,2.5,575,184,759
PALOMAR MOUNTAIN,CA,92060,116,232,2.5,580,185.6,765.6
LAKE ELSINORE,CA,92530,116,232,2.5,580,185.6,765.6
CALIPATRIA,CA,92233,116,232,2.5,580,185.6,765.6
SAN DIEGO,CA,92139,117,234,2.5,585,187.2,772.2
LA MESA,CA,91942,117,234,2.5,585,187.2,772.2
SAN DIEGO,CA,92101,117,234,2.5,585,187.2,772.2
OCEANO,CA,93445,117,234,2.5,585,187.2,772.2
EARP,CA,92242,117,234,2.5,585,187.2,772.2
LOLETA,CA,95551,117,234,2.5,585,187.2,772.2
SAN DIEGO,CA,92116,118,236,2.5,590,188.8,778.8
SAN DIEGO,CA,92126,118,236,2.5,590,188.8,778.8
SAN DIEGO,CA,92107,118,236,2.5,590,188.8,778.8
PAUMA VALLEY,CA,92061,118,236,2.5,590,188.8,778.8
ESSEX,CA,92332,118,236,2.5,590,188.8,778.8
YUCAIPA,CA,92399,118,236,2.5,590,188.8,778.8
SAN DIEGO,CA,92108,119,238,2.5,595,190.4,785.4
MADERA,CA,93638,119,238,2.5,595,190.4,785.4
OXNARD,CA,93030,119,238,2.5,595,190.4,785.4
BLOOMINGTON,CA,92316,119,238,2.5,595,190.4,785.4
SAN DIEGO,CA,92113,120,240,2.5,600,192,792
SPRING VALLEY,CA,91977,120,240,2.5,600,192,792
LA MESA,CA,91942,120,240,2.5,600,192,792
SAN DIEGO,CA,92109,120,240,2.5,600,192,792
CAMBRIA,CA,93428,120,240,2.5,600,192,792
EL CAJON,CA,92021,120,240,2.5,600,192,792
SAN DIEGO,CA,92108,121,242,2.5,605,193.6,798.6
INYOKERN,CA,93527,121,242,2.5,605,193.6,798.6
GOLETA,CA,93199,122,244,2.5,610,195.2,805.2
MECCA,CA,92254,122,244,2.5,610,195.2,805.2
LOMPOC,CA,93437,122,244,2.5,610,195.2,805.2
LA MESA,CA,91942,123,246,2.5,615,196.8,811.8
PIONEERTOWN,CA,92268,123,246,2.5,615,196.8,811.8
LAKE ELSINORE,CA,92530,123,246,2.5,615,196.8,811.8
PALA,CA,92059,124,248,2.5,620,198.4,818.4
THERMAL,CA,92274,124,248,2.5,620,198.4,818.4
BAKERSFIELD,CA,93311,124,248,2.5,620,198.4,818.4
LOS ANGELES,CA,90009,124,248,2.5,620,198.4,818.4
CARSON,CA,90746,125,250,2.5,625,200,825
KERNVILLE,CA,93238,125,250,2.5,625,200,825
CALIFORNIA CITY,CA,93505,125,250,2.5,625,200,825
SHOSHONE,CA,92384,125,250,2.5,625,200,825
SAN DIEGO,CA,92121,126,252,2.5,630,201.6,831.6
TORRANCE,CA,90505,126,252,2.5,630,201.6,831.6
CHULA VISTA,CA,91914,126,252,2.5,630,201.6,831.6
LAKE ARROWHEAD,CA,92352,127,254,2.5,635,203.2,838.2
SAN DIEGO,CA,92124,127,254,2.5,635,203.2,838.2
DELANO,CA,93215,127,254,2.5,635,203.2,838.2
GLENNVILLE,CA,93226,127,254,2.5,635,203.2,838.2
FRESNO,CA,93650,127,254,2.5,635,203.2,838.2
SUMMERLAND,CA,93067,128,256,2.5,640,204.8,844.8
BAKERSFIELD,CA,93308,128,256,2.5,640,204.8,844.8
BUELLTON,CA,93427,128,256,2.5,640,204.8,844.8
FRESNO,CA,93704,128,256,2.5,640,204.8,844.8
PERRIS,CA,92570,128,256,2.5,640,204.8,844.8
LITTLEROCK,CA,93543,129,258,2.5,645,206.4,851.4
NEW CUYAMA,CA,93254,129,258,2.5,645,206.4,851.4
SAN DIEGO,CA,92115,130,260,2.5,650,208,858
BIG BEAR LAKE,CA,92315,130,260,2.5,650,208,858
BAKERSFIELD,CA,93380,130,260,2.5,650,208,858
YUCCA VALLEY,CA,92284,130,260,2.5,650,208,858
WOODY,CA,93287,131,262,2.5,655,209.6,864.6
BONSALL,CA,92003,132,264,2.5,660,211.2,871.2
CARDIFF BY THE SEA,CA,92007,132,264,2.5,660,211.2,871.2
BAKERSFIELD,CA,93305,133,266,2.5,665,212.8,877.8
FIVE POINTS,CA,93624,133,266,2.5,665,212.8,877.8
SANTA BARBARA,CA,93111,135,270,2.5,675,216,891
SOLANA BEACH,CA,92075,135,270,2.5,675,216,891
SAN DIEGO,CA,92110,137,274,2.5,685,219.2,904.2
BAKERSFIELD,CA,93304,137,274,2.5,685,219.2,904.2
THERMAL,CA,92274,137,274,2.5,685,219.2,904.2
PORTERVILLE,CA,93257,137,274,2.5,685,219.2,904.2
SANTA PAULA,CA,93060,137,274,2.5,685,219.2,904.2
LUCERNE VALLEY,CA,92356,138,276,2.5,690,220.8,910.8
VISTA,CA,92084,139,278,2.482014388,690,220.8,910.8
ARMONA,CA,93202,139,278,2.482014388,690,220.8,910.8
MORENO VALLEY,CA,92553,139,278,2.482014388,690,220.8,910.8
SAN DIEGO,CA,92199,139,278,2.517857143,699.9642857,223.9885714,923.9528571
ALHAMBRA,CA,91803,140,280,2.517857143,705,225.6,930.6
NAZLINI,AZ,86540,140,280,2.517857143,705,225.6,930.6
SAN DIEGO,CA,92131,141,282,2.517857143,710.0357143,227.2114286,937.2471429
BAKERSFIELD,CA,93301,141,282,2.482394366,700.0352113,224.0112676,924.0464789
SOUTH DOS PALOS,CA,93665,141,282,2.465034965,695.1398601,222.4447552,917.5846154
MENIFEE,CA,92587,141,282,2.465034965,695.1398601,222.4447552,917.5846154
BAKERSFIELD,CA,93307,142,284,2.465034965,700.0699301,224.0223776,924.0923077
LATHROP,CA,95330,142,284,2.447916667,695.2083333,222.4666667,917.675
CARLSBAD,CA,92011,142,284,2.482758621,705.1034483,225.6331034,930.7365517
HIGHLAND,CA,92346,143,286,2.482758621,710.0689655,227.222069,937.2910345
WOODLAKE,CA,93286,144,288,2.465753425,710.1369863,227.2438356,937.3808219
PORTERVILLE,CA,93257,144,288,2.448979592,705.3061224,225.6979592,931.0040816
BAKERSFIELD,CA,93309,145,290,2.448979592,710.2040816,227.2653061,937.4693878
GARDENA,CA,90247,145,290,2.416107383,700.6711409,224.2147651,924.885906
PHOENIX,AZ,85017,145,290,2.549668874,739.4039735,236.6092715,976.013245
ESCONDIDO,CA,92025,148,296,2.549668874,754.7019868,241.5046358,996.2066225
CALEXICO,CA,92231,148,296,2.516339869,744.8366013,238.3477124,983.1843137
CALIENTE,CA,93518,150,300,2.516339869,754.9019608,241.5686275,996.4705882
SIMI VALLEY,CA,93065,150,300,2.5,750,240,990
ARVIN,CA,93203,151,302,2.5,755,241.6,996.6
SAN JACINTO,CA,92583,152,304,2.483870968,755.0967742,241.6309677,996.7277419
NILAND,CA,92257,153,306,2.483870968,760.0645161,243.2206452,1003.285161
EL CAJON,CA,92020,153,306,2.483870968,760.0645161,243.2206452,1003.285161
SEELEY,CA,92273,153,306,2.436708861,745.6329114,238.6025316,984.235443
SANTA MARIA,CA,93455,153,306,2.5625,784.125,250.92,1035.045
BAKERSFIELD,CA,93306,153,306,2.5625,784.125,250.92,1035.045
STRATHMORE,CA,93267,154,308,2.530864198,779.5061728,249.4419753,1028.948148
CRESTLINE,CA,92325,154,308,2.530864198,779.5061728,249.4419753,1028.948148
BRAWLEY,CA,92227,155,310,2.5,775,248,1023
LOST HILLS,CA,93249,155,310,2.5,775,248,1023
BAKER,CA,92309,155,310,2.5,775,248,1023
RANCHO MIRAGE,CA,92270,155,310,2.44047619,756.547619,242.0952381,998.6428571
PATTON,CA,92369,155,310,2.426035503,752.0710059,240.6627219,992.7337278
RANCHO SANTA FE,CA,92091,156,312,2.558823529,798.3529412,255.4729412,1053.825882
WINTERHAVEN,CA,92283,157,314,2.558823529,803.4705882,257.1105882,1060.581176
BAKERSFIELD,CA,93308,157,314,2.529069767,794.127907,254.1209302,1048.248837
FALLBROOK,CA,92028,160,320,2.514450867,804.6242775,257.4797688,1062.104046
CAMPO,CA,91906,160,320,2.485714286,795.4285714,254.5371429,1049.965714
VISALIA,CA,93291,161,322,2.485714286,800.4,256.128,1056.528
MAMMOTH LAKES,CA,93546,162,324,2.471590909,800.7954545,256.2545455,1057.05
ALPINE,CA,91901,163,326,2.471590909,805.7386364,257.8363636,1063.575
BRIDGEPORT,CA,93517,163,326,2.471590909,805.7386364,257.8363636,1063.575
GOSHEN,CA,93227,163,326,2.555555556,833.1111111,266.5955556,1099.706667
CAVE CREEK,AZ,85331,163,326,2.527472527,823.956044,263.6659341,1087.621978
SANTA BARBARA,CA,93108,164,328,2.513661202,824.4808743,263.8338798,1088.314754
O NEALS,CA,93645,164,328,2.513661202,824.4808743,263.8338798,1088.314754
MILPITAS,CA,95035,165,330,2.486486486,820.5405405,262.572973,1083.113514
MARICOPA,CA,93252,166,332,2.47311828,821.0752688,262.744086,1083.819355
STRATFORD,CA,93266,166,332,2.552631579,847.4736842,271.1915789,1118.665263
GROVER BEACH,CA,93433,168,336,2.526041667,848.75,271.6,1120.35
FARMERSVILLE,CA,93223,168,336,2.512953368,844.3523316,270.1927461,1114.545078
TRANQUILLITY,CA,93668,169,338,2.487179487,840.6666667,269.0133333,1109.68
SAN DIEGO,CA,92128,170,340,2.487179487,845.6410256,270.6051282,1116.246154
FRAZIER PARK,CA,93225,170,340,2.487179487,845.6410256,270.6051282,1116.246154
JAMUL,CA,91935,172,344,2.474489796,851.2244898,272.3918367,1123.616327
IMPERIAL BEACH,CA,91932,172,344,2.474489796,851.2244898,272.3918367,1123.616327
OAK VIEW,CA,93022,173,346,2.461928934,851.8274112,272.5847716,1124.412183
TWENTYNINE PALMS,CA,92277,173,346,2.449494949,847.5252525,271.2080808,1118.733333
DUCOR,CA,93218,174,348,2.43718593,848.1407035,271.4050251,1119.545729
PINE VALLEY,CA,91962,175,350,2.525,883.75,282.8,1166.55
VISALIA,CA,93277,175,350,2.512437811,879.3532338,281.3930348,1160.746269
FONTANA,CA,92335,178,356,2.512437811,894.4278607,286.2169154,1180.644776
SANTA MARGARITA,CA,93453,178,356,2.487684729,885.6157635,283.3970443,1169.012808
CRESTON,CA,93432,178,356,2.475490196,881.2745098,282.0078431,1163.282353
AVALON,CA,90704,179,358,2.475490196,886.2254902,283.5921569,1169.817647
LOMPOC,CA,93436,180,360,2.463414634,886.8292683,283.7853659,1170.614634
GARDEN GROVE,CA,92842,180,360,2.427884615,874.0384615,279.6923077,1153.730769
MOJAVE,CA,93501,182,364,2.523809524,918.6666667,293.9733333,1212.64
BOULEVARD,CA,91905,182,364,2.511848341,914.3127962,292.5800948,1206.892891
BRADLEY,CA,93426,183,366,2.465116279,902.2325581,288.7144186,1190.946977
HESPERIA,CA,92345,184,368,2.453703704,902.962963,288.9481481,1191.911111
LINDSAY,CA,93247,184,368,2.5,920,294.4,1214.4
JOSHUA TREE,CA,92252,185,370,2.466367713,912.5560538,292.0179372,1204.573991
PIXLEY,CA,93256,186,372,2.466367713,917.4887892,293.5964126,1211.085202
PORTERVILLE,CA,93257,186,372,2.466367713,917.4887892,293.5964126,1211.085202
THREE RIVERS,CA,93271,186,372,2.433628319,905.3097345,289.699115,1195.00885
SANTA YSABEL,CA,92070,187,374,2.433628319,910.1769912,291.2566372,1201.433628
CHULA VISTA,CA,91910,187,374,2.422907489,906.1674009,289.9735683,1196.140969
RAYMOND,CA,93653,187,374,2.422907489,906.1674009,289.9735683,1196.140969
LEMOORE,CA,93245,188,376,2.412280702,907.0175439,290.245614,1197.263158
SOLVANG,CA,93463,188,376,2.489177489,935.9307359,299.4978355,1235.428571
THOUSAND PALMS,CA,92276,190,380,2.478448276,941.8103448,301.3793103,1243.189655
POSEY,CA,93260,190,380,2.478448276,941.8103448,301.3793103,1243.189655
SPRINGVILLE,CA,93265,190,380,2.478448276,941.8103448,301.3793103,1243.189655
COALINGA,CA,93210,193,386,2.457264957,948.5042735,303.5213675,1252.025641
CATHEDRAL CITY,CA,92234,194,388,2.426160338,941.350211,301.2320675,1242.582278
AVENAL,CA,93204,196,392,2.415966387,947.0588235,303.0588235,1250.117647
PEARBLOSSOM,CA,93553,197,394,2.479166667,976.7916667,312.5733333,1289.365
AGUANGA,CA,92536,198,396,2.468879668,977.6763485,312.8564315,1290.53278
LA QUINTA,CA,92253,199,398,2.43852459,970.5327869,310.5704918,1281.103279
TAFT,CA,93268,199,398,2.408906883,958.7449393,306.7983806,1265.54332
IMPERIAL,CA,92251,200,400,2.399193548,959.6774194,307.0967742,1266.774194
GUADALUPE,CA,93434,200,400,2.399193548,959.6774194,307.0967742,1266.774194
TIPTON,CA,93272,200,400,2.389558233,955.8232932,305.8634538,1261.686747
PINECREST,CA,95364,200,400,2.392996109,957.1984436,306.3035019,1263.501946
TEMPLETON,CA,93465,202,404,2.442307692,986.6923077,315.7415385,1302.433846
SAN MIGUEL,CA,93451,202,404,2.432950192,982.9118774,314.5318008,1297.443678
LEMOORE,CA,93246,203,406,2.390510949,970.5474453,310.5751825,1281.122628
INGLEWOOD,CA,90305,204,408,2.356115108,961.294964,307.6143885,1268.909353
FELLOWS,CA,93224,205,410,2.356115108,966.0071942,309.1223022,1275.129496
DOS PALOS,CA,93620,206,412,2.385159011,982.6855124,314.459364,1297.144876
PEBBLE BEACH,CA,93953,206,412,2.36013986,972.3776224,311.1608392,1283.538462
POWAY,CA,92064,207,414,2.351916376,973.6933798,311.5818815,1285.275261
SHAFTER,CA,93263,207,414,2.33,964.62,308.6784,1273.2984
BONITA,CA,91902,209,418,2.5,1045,334.4,1379.4
PALMDALE,CA,93550,209,418,2.5,1045,334.4,1379.4
PINE MOUNTAIN CLUB,CA,93222,209,418,2.5,1045,334.4,1379.4
ADELANTO,CA,92301,209,418,2.5,1045,334.4,1379.4
HOLTVILLE,CA,92250,210,420,2.5,1050,336,1386
SAN DIEGO,CA,92154,211,422,2.5,1055,337.6,1392.6
BODFISH,CA,93205,211,422,2.5,1055,337.6,1392.6
COACHELLA,CA,92236,211,422,2.5,1055,337.6,1392.6
DOWNEY,CA,90241,213,426,2.5,1065,340.8,1405.8
BUTTONWILLOW,CA,93206,213,426,2.5,1065,340.8,1405.8
NATIONAL CITY,CA,91950,214,428,2.5,1070,342.4,1412.4
HANFORD,CA,93230,214,428,2.5,1070,342.4,1412.4
KEELER,CA,93530,215,430,2.5,1075,344,1419
CORCORAN,CA,93212,215,430,2.5,1075,344,1419
TERRA BELLA,CA,93270,215,430,2.5,1075,344,1419
LLANO,CA,93544,215,430,2.5,1075,344,1419
BISHOP,CA,93514,216,432,2.5,1080,345.6,1425.6
EDISON,CA,93220,216,432,2.5,1080,345.6,1425.6
ANGELUS OAKS,CA,92305,217,434,2.5,1085,347.2,1432.2
SAN DIEGO,CA,92154,217,434,2.5,1085,347.2,1432.2
KERMAN,CA,93630,217,434,2.5,1085,347.2,1432.2
WELDON,CA,93283,218,436,2.5,1090,348.8,1438.8
PARLIER,CA,93648,218,436,2.5,1090,348.8,1438.8
DEL REY,CA,93616,219,438,2.5,1095,350.4,1445.4
SAN DIEGO,CA,92115,221,442,2.5,1105,353.6,1458.6
INDIO,CA,92201,221,442,2.5,1105,353.6,1458.6
ATASCADERO,CA,93422,221,442,2.5,1105,353.6,1458.6
BAKERSFIELD,CA,93309,221,442,2.5,1105,353.6,1458.6
ESCONDIDO,CA,92027,222,444,2.5,1110,355.2,1465.2
CANTUA CREEK,CA,93608,223,446,2.5,1115,356.8,1471.8
PALO VERDE,CA,92266,223,446,2.5,1115,356.8,1471.8
LEMON COVE,CA,93244,224,448,2.5,1120,358.4,1478.4
WASCO,CA,93280,225,450,2.5,1125,360,1485
RAMONA,CA,92065,226,452,2.5,1130,361.6,1491.6
SAN ARDO,CA,93450,227,454,2.5,1135,363.2,1498.2
TOLLHOUSE,CA,93667,227,454,2.5,1135,363.2,1498.2
CAYUCOS,CA,93430,228,456,2.5,1140,364.8,1504.8
PALM SPRINGS,CA,92264,228,456,2.5,1140,364.8,1504.8
SANTA BARBARA,CA,93101,229,458,2.5,1145,366.4,1511.4
SOLEDAD,CA,93960,229,458,2.5,1145,366.4,1511.4
TWENTYNINE PALMS,CA,92278,231,462,2.5,1155,369.6,1524.6
BIOLA,CA,93606,231,462,2.5,1155,369.6,1524.6
VISALIA,CA,93291,233,466,2.5,1165,372.8,1537.8
CUTLER,CA,93615,233,466,2.5,1165,372.8,1537.8
FRESNO,CA,93721,233,466,2.5,1165,372.8,1537.8
HURON,CA,93234,234,468,2.5,1170,374.4,1544.4
SULTANA,CA,93666,234,468,2.5,1170,374.4,1544.4
KING CITY,CA,93930,234,468,2.5,1170,374.4,1544.4
CALIFORNIA HOT SPRINGS,CA,93207,235,470,2.5,1175,376,1551
TEMECULA,CA,92591,235,470,2.5,1175,376,1551
PASO ROBLES,CA,93446,236,472,2.5,1180,377.6,1557.6
SAN LUIS OBISPO,CA,93401,237,474,2.5,1185,379.2,1564.2
RICHGROVE,CA,93261,238,476,2.5,1190,380.8,1570.8
TUOLUMNE,CA,95379,238,476,2.5,1190,380.8,1570.8
HAWTHORNE,CA,90250,239,478,2.5,1195,382.4,1577.4
FISH CAMP,CA,93623,239,478,2.5,1195,382.4,1577.4
FRESNO,CA,93705,239,478,2.5,1195,382.4,1577.4
TRAVER,CA,93673,239,478,2.5,1195,382.4,1577.4
WELLTON,AZ,85356,240,480,2.5,1200,384,1584
WOFFORD HEIGHTS,CA,93285,241,482,2.5,1205,385.6,1590.6
JOLON,CA,93928,241,482,2.5,1205,385.6,1590.6
GROVELAND,CA,95321,241,482,2.5,1205,385.6,1590.6
TUPMAN,CA,93276,242,484,2.5,1210,387.2,1597.2
EDWARDS,CA,93523,242,484,2.5,1210,387.2,1597.2
FRESNO,CA,93725,243,486,2.5,1215,388.8,1603.8
RIVERDALE,CA,93656,243,486,2.5,1215,388.8,1603.8
SAN LUIS OBISPO,CA,93401,244,488,2.5,1220,390.4,1610.4
SANGER,CA,93657,244,488,2.5,1220,390.4,1610.4
PIEDRA,CA,93649,244,488,2.5,1220,390.4,1610.4
AUBERRY,CA,93602,245,490,2.5,1225,392,1617
MOJAVE,CA,93501,245,490,2.5,1225,392,1617
ORANGE COVE,CA,93646,246,492,2.5,1230,393.6,1623.6
DAGGETT,CA,92327,246,492,2.5,1230,393.6,1623.6
CHINESE CAMP,CA,95309,247,494,2.5,1235,395.2,1630.2
SANTA BARBARA,CA,93105,248,496,2.48,1230.08,393.6256,1623.7056
KETTLEMAN CITY,CA,93239,248,496,2.48,1230.08,393.6256,1623.7056
FRESNO,CA,93701,248,496,2.48,1230.08,393.6256,1623.7056
DINUBA,CA,93618,248,496,2.48,1230.08,393.6256,1623.7056
PRATHER,CA,93651,249,498,2.48,1235.04,395.2128,1630.2528
CYPRESS,CA,90630,249,498,2.48,1235.04,395.2128,1630.2528
CHOWCHILLA,CA,93610,249,498,2.48,1235.04,395.2128,1630.2528
BEAUMONT,CA,92223,250,500,2.48,1240,396.8,1636.8
LEE VINING,CA,93541,252,504,2.48,1249.92,399.9744,1649.8944
LANDERS,CA,92285,253,506,2.48,1254.88,401.5616,1656.4416
FONTANA,CA,92337,253,506,2.48,1254.88,401.5616,1656.4416
FRESNO,CA,93727,253,506,2.48,1254.88,401.5616,1656.4416
LOS ANGELES,CA,90065,253,506,2.48,1254.88,401.5616,1656.4416
SALINAS,CA,93907,253,506,2.48,1254.88,401.5616,1656.4416
FOWLER,CA,93625,254,508,2.48,1259.84,403.1488,1662.9888
BLYTHE,CA,92225,257,514,2.48,1274.72,407.9104,1682.6304
NORTH FORK,CA,93643,258,516,2.48,1279.68,409.4976,1689.1776
VALYERMO,CA,93563,258,516,2.48,1279.68,409.4976,1689.1776
FRIANT,CA,93626,259,518,2.48,1284.64,411.0848,1695.7248
BIG OAK FLAT,CA,95305,259,518,2.48,1284.64,411.0848,1695.7248
GILBERT,AZ,85233,259,518,2.48,1284.64,411.0848,1695.7248
LA QUINTA,CA,92253,260,520,2.53,1315.6,420.992,1736.592
COMPTON,CA,90222,263,526,2.52,1325.52,424.1664,1749.6864
NORTH PALM SPRINGS,CA,92258,264,528,2.52,1330.56,425.7792,1756.3392
OROSI,CA,93647,265,530,2.52,1335.6,427.392,1762.992
EARP,CA,92242,267,534,2.52,1345.68,430.6176,1776.2976
EARLIMART,CA,93219,269,538,2.52,1355.76,433.8432,1789.6032
RUNNING SPRINGS,CA,92382,270,540,2.52,1360.8,435.456,1796.256
LOS BANOS,CA,93635,270,540,2.52,1360.8,435.456,1796.256
CABAZON,CA,92230,272,544,2.52,1370.88,438.6816,1809.5616
DESERT HOT SPRINGS,CA,92240,272,544,2.52,1370.88,438.6816,1809.5616
MERCED,CA,95340,273,546,2.52,1375.92,440.2944,1816.2144
FREEDOM,CA,95019,273,546,2.47,1348.62,431.5584,1780.1784
IVANHOE,CA,93235,274,548,2.47,1353.56,433.1392,1786.6992
RIVERDALE,CA,93656,274,548,2.47,1353.56,433.1392,1786.6992
MODESTO,CA,95358,274,548,2.47,1353.56,433.1392,1786.6992
OCOTILLO,CA,92259,275,550,2.47,1358.5,434.72,1793.22
LAMONT,CA,93241,279,558,2.44,1361.52,435.6864,1797.2064
ALPAUGH,CA,93201,280,560,2.44,1366.4,437.248,1803.648
PORTOLA,CA,96122,281,562,2.44,1371.28,438.8096,1810.0896
COARSEGOLD,CA,93614,282,564,2.44,1376.16,440.3712,1816.5312
SAN DIEGO,CA,92105,283,566,2.46,1392.36,445.5552,1837.9152
DUNLAP,CA,93621,283,566,2.46,1392.36,445.5552,1837.9152
MENTONE,CA,92359,283,566,2.46,1392.36,445.5552,1837.9152
MENDOTA,CA,93640,283,566,2.46,1392.36,445.5552,1837.9152
ESSEX,CA,92332,284,568,2.46,1397.28,447.1296,1844.4096
OXNARD,CA,93033,285,570,2.46,1402.2,448.704,1850.904
WOODBRIDGE,CA,95258,287,574,2.43,1394.82,446.3424,1841.1624
RAISIN CITY,CA,93652,288,576,2.43,1399.68,447.8976,1847.5776
DESCANSO,CA,91916,289,578,2.43,1404.54,449.4528,1853.9928
LOS OLIVOS,CA,93441,289,578,2.43,1404.54,449.4528,1853.9928
PISMO BEACH,CA,93449,289,578,2.43,1404.54,449.4528,1853.9928
MARIPOSA,CA,95338,290,580,2.43,1409.4,451.008,1860.408
ARROYO GRANDE,CA,93420,291,582,2.43,1414.26,452.5632,1866.8232
ANZA,CA,92539,291,582,2.43,1414.26,452.5632,1866.8232
LOS ANGELES,CA,90071,292,584,2.43,1419.12,454.1184,1873.2384
BANNING,CA,92220,292,584,2.43,1419.12,454.1184,1873.2384
HOLT,CA,95234,292,584,2.43,1419.12,454.1184,1873.2384
SAN LUIS,AZ,85349,292,584,2.43,1419.12,454.1184,1873.2384
HEBER,CA,92249,293,586,2.43,1423.98,455.6736,1879.6536
PARKER DAM,CA,92267,294,588,2.43,1428.84,457.2288,1886.0688
WESTMORLAND,CA,92281,294,588,2.43,1428.84,457.2288,1886.0688
GLENDALE,CA,91205,294,588,2.43,1428.84,457.2288,1886.0688
BIG PINE,CA,93513,295,590,2.43,1433.7,458.784,1892.484
YUMA,AZ,85364,296,592,2.43,1438.56,460.3392,1898.8992
YUMA,AZ,85365,296,592,2.43,1438.56,460.3392,1898.8992
PACIFIC GROVE,CA,93950,296,592,2.43,1438.56,460.3392,1898.8992
WATSONVILLE,CA,95076,296,592,2.43,1438.56,460.3392,1898.8992
CASHION,AZ,85329,296,592,2.43,1438.56,460.3392,1898.8992
LAKESHORE,CA,93634,297,594,2.43,1443.42,461.8944,1905.3144
PAICINES,CA,95043,299,598,2.43,1453.14,465.0048,1918.1448
WESTLEY,CA,95387,299,598,2.43,1453.14,465.0048,1918.1448
WICKENBURG,AZ,85390,304,608,2.43,1477.44,472.7808,1950.2208
MARIPOSA,CA,95338,304,608,2.43,1477.44,472.7808,1950.2208
CAPITOLA,CA,95010,304,608,2.43,1477.44,472.7808,1950.2208
CASMALIA,CA,93429,305,610,2.43,1482.3,474.336,1956.636
GILROY,CA,95020,306,612,2.43,1487.16,475.8912,1963.0512
BULLHEAD CITY,AZ,86442,307,614,2.43,1492.02,477.4464,1969.4664
CARMEL VALLEY,CA,93924,307,614,2.43,1492.02,477.4464,1969.4664
LONE PINE,CA,93545,307,614,2.43,1492.02,477.4464,1969.4664
ANAHEIM,CA,92803,309,618,2.43,1501.74,480.5568,1982.2968
TRACY,CA,95304,310,620,2.43,1506.6,482.112,1988.712
MONTEREY,CA,93944,310,620,2.43,1506.6,482.112,1988.712
CROWS LANDING,CA,95313,311,622,2.43,1511.46,483.6672,1995.1272
ARNOLD,CA,95223,311,622,2.43,1511.46,483.6672,1995.1272
MI WUK VILLAGE,CA,95346,312,624,2.43,1516.32,485.2224,2001.5424
SAN JOSE,CA,95120,313,626,2.43,1521.18,486.7776,2007.9576
MANTECA,CA,95337,313,626,2.43,1521.18,486.7776,2007.9576
TWAIN HARTE,CA,95383,314,628,2.43,1526.04,488.3328,2014.3728
CAMPO SECO,CA,95226,314,628,2.43,1526.04,488.3328,2014.3728
BRENTWOOD,CA,94513,315,630,2.43,1530.9,489.888,2020.788
HILMAR,CA,95324,316,632,2.43,1535.76,491.4432,2027.2032
IRVINE,CA,92619,316,632,2.43,1535.76,491.4432,2027.2032
DELHI,CA,95315,317,634,2.43,1540.62,492.9984,2033.6184
CARMEL BY THE SEA,CA,93921,318,636,2.43,1545.48,494.5536,2040.0336
ATWATER,CA,95301,319,638,2.43,1550.34,496.1088,2046.4488
SALIDA,CA,95368,320,640,2.43,1555.2,497.664,2052.864
SUPAI,AZ,86435,321,642,2.43,1560.06,499.2192,2059.2792
MONTEREY,CA,93940,321,642,2.43,1560.06,499.2192,2059.2792
CATHEYS VALLEY,CA,95306,322,644,2.43,1564.92,500.7744,2065.6944
CHUALAR,CA,93925,323,646,2.43,1569.78,502.3296,2072.1096
ALPINE,AZ,85920,325,650,2.43,1579.5,505.44,2084.94
CERRITOS,CA,90703,325,650,2.43,1579.5,505.44,2084.94
MONTROSE,CA,91020,325,650,2.43,1579.5,505.44,2084.94
RANCHO SANTA FE,CA,92091,325,650,2.43,1579.5,505.44,2084.94
SANTA YNEZ,CA,93460,325,650,2.43,1579.5,505.44,2084.94
BENTON,CA,93512,325,650,2.43,1579.5,505.44,2084.94
INDEPENDENCE,CA,93526,325,650,2.43,1579.5,505.44,2084.94
KINGSBURG,CA,93631,325,650,2.43,1579.5,505.44,2084.94
SALINAS,CA,93905,325,650,2.43,1579.5,505.44,2084.94
GONZALES,CA,93926,325,650,2.43,1579.5,505.44,2084.94
GREENFIELD,CA,93927,325,650,2.43,1579.5,505.44,2084.94
OAKDALE,CA,95361,325,650,2.43,1579.5,505.44,2084.94
PATTERSON,CA,95363,325,650,2.43,1579.5,505.44,2084.94
DUNSMUIR,CA,96025,325,650,2.43,1579.5,505.44,2084.94
LIVINGSTON,CA,95334,325,650,2.43,1579.5,505.44,2084.94
LOS ANGELES,CA,90026,326,652,2.43,1584.36,506.9952,2091.3552
